Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,14:49:11.014,Dot Bot,Track Master 100,0.244000s,20,20,1.000000,1.000000,1.000000,1.000000,0,0
2,14:49:11.876,Dot Bot,Track Master 100,0.849000s,52,20,0.384615,1.000000,2.599999,0.384616,0,0
3,14:49:12.721,Dot Bot,Track Master 100,0.831000s,45,20,0.444444,1.000000,2.249999,0.444445,0,0
4,14:49:13.372,Dot Bot,Track Master 100,0.637000s,35,20,0.571429,1.000000,1.749999,0.571429,0,0
5,14:49:14.015,Dot Bot,Track Master 100,0.631000s,34,20,0.588235,1.000000,1.699999,0.588235,0,0
6,14:49:14.705,Dot Bot,Track Master 100,0.679000s,40,20,0.500000,1.000000,1.999999,0.500000,0,0
7,14:49:15.438,Dot Bot,Track Master 100,0.720000s,30,20,0.666667,1.000000,1.500000,0.666667,0,0
8,14:49:16.226,Dot Bot,Track Master 100,0.777000s,30,20,0.666667,1.000000,1.500000,0.666667,0,0
9,14:49:16.842,Dot Bot,Track Master 100,0.604000s,29,20,0.689655,1.000000,1.450000,0.689655,0,0
10,14:49:17.536,Dot Bot,Track Master 100,0.682000s,42,20,0.476190,1.000000,2.099999,0.476191,0,0
11,14:49:18.013,Dot Bot,Track Master 100,0.462000s,26,20,0.769231,1.000000,1.300000,0.769231,0,0
12,14:49:18.481,Dot Bot,Track Master 100,0.456000s,28,20,0.714286,1.000000,1.400000,0.714286,0,0
13,14:49:19.189,Dot Bot,Track Master 100,0.697000s,40,20,0.500000,1.000000,1.999999,0.500000,0,0
14,14:49:19.811,Dot Bot,Track Master 100,0.611000s,30,20,0.666667,1.000000,1.500000,0.666667,0,0
15,14:49:20.390,Dot Bot,Track Master 100,0.564000s,30,20,0.666667,1.000000,1.500000,0.666667,0,0
16,14:49:20.854,Dot Bot,Track Master 100,0.450000s,27,20,0.740741,1.000000,1.350000,0.740741,0,0
